Unnamed: 0,Tag,SMILES,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
0,1,N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,2.804262479,,,,,,,187.1537,DOI: 10.1021/acs.jpcb.5b09905
1,2,N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,3.961965135,,,,,,43.0,186.14576,DOI: 10.1021/acs.jpcb.5b09905
2,3,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0,535.0,3.602954423,,,,,,,1061.54348,https://doi.org/10.1002/smll.201901342
3,4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.72,3.81,,,,,,67.4,350.42028,https://doi.org/10.1016/j.snb.2018.10.043
4,5,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,4.7,,,,,58.0,50.0,350.42028,https://doi.org/10.1016/j.snb.2018.10.043
5,6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,2.8,,,,,,,231.29398,DOI: 10.1021/j100248a024
6,7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,3.1,,,,,,,231.29398,DOI: 10.1021/j100248a024
7,8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,3.4,,,,,,,231.29398,DOI: 10.1021/j100248a024
10,11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0,4.1,,,,,,,285.26416,DOI: 10.1021/j100248a024
11,12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0,4.6,,,,,,,285.26416,DOI: 10.1021/j100248a024
12,13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0,0.6,,,,,,,285.26416,DOI: 10.1021/j100248a024
13,14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0,0.85,,,,,,,285.26416,DOI: 10.1021/j100248a024
15,16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0,2.6,,,,,,,255.31598,DOI: 10.1021/j100248a024
16,17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380.0,450.0,3.3,,,,,,,255.31598,DOI: 10.1021/j100248a024
