SMILES,Solvent,log(e/mol-1 dm3 cm-1)
N#Cc1cc2ccc(O)cc2oc1=O,O,
N#Cc1cc2ccc([O-])cc2oc1=O,O,
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,
