,SMILES,Solvent,Quantum yield
44,Clc1nc(Cl)nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)n1,CCCCOCCCC,-1.2218487496163564
50,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCCCl,-0.0969100130080563
51,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCC#N,-0.0457574905606751
52,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,OCC(F)(F)F,-0.0757207139381183
53,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,OC(C(F)(F)F)C(F)(F)F,-0.0655015487564322
54,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCCCCCCl,-0.0222763947111522
55,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCCCl,-0.1135092748275181
56,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCC#N,-0.1191864077192086
57,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(F)(F)F,-0.3279021420642826
61,N#Cc1c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.0809219076239261
62,CC(C)(C)c1ccc(-c2nnc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)c(-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)o2)cc1,c1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)c1,-0.0506099933550872
63,N#Cc1cc(-n2c3ccccc3c3ccccc32)c(C#N)cc1-n1c2ccccc2c2ccccc21,c1ccc2c(c1)c1ccccc1n2P1(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=N1,-0.0705810742857072
64,N#Cc1cc(-n2c3ccccc3c3ccccc32)c(C#N)cc1-n1c2ccccc2c2ccccc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.0604807473813814
65,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.1870866433571444
67,Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.0506099933550872
68,Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5ccccc54)cc3c2c1,-0.0752040042020878
69,Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1,-0.0078885122130503
70,Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1ccc2c(c1)c1cccnc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1,-0.0560111249262281
71,CC1(C)c2ccccc2N(c2cc(C#N)c(C#N)cc2N2c3ccccc3C(C)(C)c3ccccc32)c2ccccc21,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.2284125191187446
72,N#Cc1cc(N2c3ccccc3Oc3ccccc32)c(N2c3ccccc3Oc3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-1.193820026016113
73,N#Cc1cc(N2c3ccccc3Sc3ccccc32)c(N2c3ccccc3Sc3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-1.337242168318426
74,N#Cc1c(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)c(C#N)c1-c1ccccc1,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.3036436112666679
77,Cc1c(C)c(B(c2c(C)c(C)c(C#N)c(C)c2C)c2c(C)c(C)c(N3c4ccccc4Oc4ccccc43)c(C)c2C)c(C)c(C)c1C#N,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.1739251972991735
78,Cc1c(C)c(B(c2c(C)c(C)c(N3c4ccccc4Oc4ccccc43)c(C)c2C)c2c(C)c(C)c(N3c4ccccc4Oc4ccccc43)c(C)c2C)c(C)c(C)c1C#N,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.1249387366082999
107,CC(C)(C)c1cc2c3cc(C(C)(C)C)c(-c4cc5cc6c7cccc8cccc(c9cc(C(C)(C)C)cc(c5cc4C(C)(C)C)c96)c87)cc3cc3c4cccc5cccc(c(c1)c23)c54,CC1CCCCC1,-0.1938200260161128
108,CC(C)(C)c1ccc2cc3c4cccc5cccc(c6cc(C(C)(C)C)cc(c2c1)c63)c54,CC1CCCCC1,-0.1307682802690238
227,CC1=CC(C)=[N+]2C1=C(c1ccc(C)cc1)c1c(C)cc(/C=C/c3ccc4ccc5cccc6ccc3c4c56)n1[B-]2(F)F,CC1CCCO1,-0.1938200260161128
228,CC1=CC(/C=C/c2ccc(C)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3ccc(C)cc3)n1[B-]2(F)F,CC1CCCO1,-0.1249387366082999
229,CC1=CC(/C=C/c2c3ccccc3c(C)c3ccccc23)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3c4ccccc4c(C)c4ccccc34)n1[B-]2(F)F,CC1CCCO1,-1.42021640338319
230,CC1=CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3ccc4ccc5cccc6ccc3c4c56)n1[B-]2(F)F,CC1CCCO1,-0.0969100130080563
