SMILES,Solvent,Absorption max (nm)
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343.0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375.0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370.0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.3451327
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,445.0
N#Cc1cccc2[nH]ccc12,NC=O,
N#Cc1ccc2[nH]ccc2c1,NC=O,
N#Cc1ccc2cc[nH]c2c1,NC=O,
N#Cc1cccc2cc[nH]c12,NC=O,
N#Cc1cc2ccccc2[nH]1,OCC(F)(F)F,
N#Cc1c[nH]c2ccccc12,OCC(F)(F)F,
N#Cc1cccc2[nH]ccc12,OCC(F)(F)F,
N#Cc1ccc2[nH]ccc2c1,OCC(F)(F)F,
N#Cc1ccc2cc[nH]c2c1,OCC(F)(F)F,
N#Cc1cccc2cc[nH]c12,OCC(F)(F)F,
N#Cc1ccc2cc[nH]c2c1,[2H]OC([2H])([2H])C(F)(F)F,
N#Cc1cccc2[nH]ccc12,[2H]O[2H],
N#Cc1ccc2[nH]ccc2c1,[2H]O[2H],
N#Cc1ccc2cc[nH]c2c1,[2H]O[2H],
N#Cc1cccc2cc[nH]c12,[2H]O[2H],
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClC(Cl)(Cl)Cl,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCOCCCC,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCC#N,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC1COC(=O)O1,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCCCCCCO,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCO,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCCO,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(O)CO,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(F)(F)F,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OC(C(F)(F)F)C(F)(F)F,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,[2H]OC,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,[2H]OCC,
O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,
O=c1c2ccccc2sc2ccccc12,OCCO,382.0
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,OCCO,
CC/C=C/C=C/C=C/C=C/CCCCCCCC(=O)O,CCCCCCCCCC,315.3
CC/C=C\C=C\C=C\C=C/CCCCCCCC(=O)O,CCCCCCCCCC,320.8
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,376.0
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClC(Cl)(Cl)Cl,415.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,457.0
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,474.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,483.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,499.0
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,502.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,505.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,505.0
Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,455.0
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,453.0
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,443.0
