SMILES,Solvent,Emission max (nm)
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,463.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,524.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,546.0
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,406.0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,515.0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,510.0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,495.0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,501.0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,571.8681319
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,682.0
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,460.0
N#Cc1cccc2[nH]ccc12,NC=O,
N#Cc1ccc2[nH]ccc2c1,NC=O,
N#Cc1ccc2cc[nH]c2c1,NC=O,
N#Cc1cccc2cc[nH]c12,NC=O,
N#Cc1cc2ccccc2[nH]1,OCC(F)(F)F,339.0
N#Cc1c[nH]c2ccccc12,OCC(F)(F)F,314.0
N#Cc1cccc2[nH]ccc12,OCC(F)(F)F,394.0
N#Cc1ccc2[nH]ccc2c1,OCC(F)(F)F,374.0
N#Cc1ccc2cc[nH]c2c1,OCC(F)(F)F,364.0
N#Cc1cccc2cc[nH]c12,OCC(F)(F)F,391.0
N#Cc1ccc2cc[nH]c2c1,[2H]OC([2H])([2H])C(F)(F)F,
N#Cc1cccc2[nH]ccc12,[2H]O[2H],
N#Cc1ccc2[nH]ccc2c1,[2H]O[2H],
N#Cc1ccc2cc[nH]c2c1,[2H]O[2H],
N#Cc1cccc2cc[nH]c12,[2H]O[2H],
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClC(Cl)(Cl)Cl,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCOCCCC,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCC#N,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC1COC(=O)O1,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCCCCCCO,
