SMILES,Solvent,log(e/mol-1 dm3 cm-1)
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.73
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,3.75
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.74
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.78
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.76
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,3.87
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,3.86
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,3.91
COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,3.71
C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,3.88
C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,3.82
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,4.13
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,4.65
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,4.77815125
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,4.763427994
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,4.763427994
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,4.755874856
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,4.439332694
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,4.760874638
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,4.607883744
c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,4.897077003
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,5.189770956
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,5.551498792
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,4.591621038
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,4.819346484
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,5.049992857
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,4.819346484
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,4.37
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,4.35
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,4.02
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,4.29
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,4.17
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,3.73
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,4.76
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,4.81
N#Cc1cccc2[nH]ccc12,O,3.903089987
N#Cc1ccc2[nH]ccc2c1,O,3.740362689
N#Cc1ccc2cc[nH]c2c1,O,4.017033339
N#Cc1cccc2cc[nH]c12,O,3.903089987
N#Cc1cc2ccccc2[nH]1,C1COCCO1,4.482860169
